code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
TTO,TRINIDAD AND TOBAGO,1908,MtCO2,0.0,0.0,0.0,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1909,MtCO2,0.0256666666666666,0.0,0.0256666666666666,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1910,MtCO2,0.066,0.0,0.066,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1911,MtCO2,0.1246666666666666,0.0,0.1246666666666666,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1912,MtCO2,0.198,0.0,0.198,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1913,MtCO2,0.2236666666666666,0.0,0.2236666666666666,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1914,MtCO2,0.2896666666666666,0.0,0.2896666666666666,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1915,MtCO2,0.3336666666666666,0.0,0.3336666666666666,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1916,MtCO2,0.4143333333333333,0.0,0.4143333333333333,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1917,MtCO2,0.528,0.0,0.528,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1918,MtCO2,0.77,0.0,0.77,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1919,MtCO2,0.649,0.0,0.649,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1920,MtCO2,0.869,0.0,0.869,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1921,MtCO2,1.001,0.0,1.001,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1922,MtCO2,0.9826666666666666,0.0,0.9826666666666666,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1923,MtCO2,1.21,0.0,1.21,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1924,MtCO2,1.657333333333333,0.0,1.657333333333333,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1925,MtCO2,1.947,0.0,1.8186666666666664,0.1283333333333333,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1926,MtCO2,1.9616666666666664,0.0,1.9616666666666664,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1927,MtCO2,2.101,0.0,2.101,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1928,MtCO2,3.234,0.0,3.234,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1929,MtCO2,3.597,0.0,3.340333333333333,0.2566666666666666,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1930,MtCO2,3.648333333333333,0.0,3.648333333333333,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1931,MtCO2,3.076333333333333,0.0,3.076333333333333,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1932,MtCO2,3.256,0.0,3.256,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1933,MtCO2,4.07,0.0,3.7876666666666665,0.2823333333333333,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1934,MtCO2,4.781333333333333,0.0,4.781333333333333,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1935,MtCO2,5.093,0.0,5.093,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1936,MtCO2,5.745666666666666,0.0,5.745666666666666,0.0,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1937,MtCO2,7.252666666666666,0.0,6.779666666666666,0.473,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1938,MtCO2,8.345333333333333,0.0,7.806333333333333,0.539,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1939,MtCO2,9.46,0.0,8.836666666666666,0.6233333333333333,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1940,MtCO2,10.743333333333332,0.0,9.995333333333331,0.748,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1941,MtCO2,9.907333333333332,0.0,9.155666666666669,0.748,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1942,MtCO2,10.673666666666666,0.0,9.870666666666668,0.803,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1943,MtCO2,10.281333333333333,0.0,9.529666666666666,0.7516666666666666,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1944,MtCO2,10.78,0.0,10.094333333333331,0.6856666666666666,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1945,MtCO2,11.029333333333332,0.0,10.274,0.7516666666666666,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1946,MtCO2,10.945,0.0,10.175,0.77,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1947,MtCO2,12.012,0.0,11.231,0.781,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1948,MtCO2,12.65,0.0,11.759,0.891,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1949,MtCO2,13.761,0.0,12.822333333333331,0.9386666666666666,0.0,,,0.0
TTO,TRINIDAD AND TOBAGO,1950,MtCO2,2.354,0.0513333333333333,1.3896666666666666,0.9093333333333332,0.0,0.0,0.0037033333333333,3.3586666666666667
TTO,TRINIDAD AND TOBAGO,1951,MtCO2,2.515333333333333,0.0476666666666666,1.5656666666666663,0.902,0.0,0.0,0.0038866666666666,4.572333333333333
TTO,TRINIDAD AND TOBAGO,1952,MtCO2,2.7976666666666663,0.0513333333333333,1.826,0.9166666666666666,0.0,0.0,0.0042166666666666,5.067333333333333
TTO,TRINIDAD AND TOBAGO,1953,MtCO2,2.937,0.033,1.947,0.9606666666666668,0.0,0.0,0.0043266666666666,4.909666666666666
TTO,TRINIDAD AND TOBAGO,1954,MtCO2,2.838,0.011,1.8296666666666663,0.9863333333333332,0.011,0.0,0.00407,4.161666666666666
TTO,TRINIDAD AND TOBAGO,1955,MtCO2,2.724333333333333,0.0036666666666666,1.7013333333333334,0.9533333333333333,0.0623333333333333,0.0,0.0037766666666666,4.015
TTO,TRINIDAD AND TOBAGO,1956,MtCO2,2.882,0.0036666666666666,1.7636666666666665,1.0486666666666664,0.0696666666666666,0.0,0.0038866666666666,4.183666666666666
TTO,TRINIDAD AND TOBAGO,1957,MtCO2,2.5666666666666664,0.0036666666666666,1.3493333333333333,1.151333333333333,0.066,0.0,0.0033366666666666,4.158
TTO,TRINIDAD AND TOBAGO,1958,MtCO2,3.4796666666666667,0.0,2.1376666666666666,1.272333333333333,0.0733333333333333,0.0,0.0043633333333333,5.17
TTO,TRINIDAD AND TOBAGO,1959,MtCO2,3.0946666666666665,0.0036666666666666,1.6353333333333333,1.3676666666666666,0.088,0.0,0.0037766666666666,6.064666666666666
TTO,TRINIDAD AND TOBAGO,1960,MtCO2,2.581333333333333,0.0036666666666666,1.0193333333333332,1.4666666666666666,0.088,0.0,0.00308,6.079333333333333
TTO,TRINIDAD AND TOBAGO,1961,MtCO2,4.601666666666666,0.0,2.959,1.595,0.0476666666666666,0.0,0.00539,7.153666666666666
TTO,TRINIDAD AND TOBAGO,1962,MtCO2,7.238,0.0036666666666666,5.525666666666666,1.628,0.0806666666666666,0.0,0.00836,7.245333333333333
TTO,TRINIDAD AND TOBAGO,1963,MtCO2,1.309,0.0036666666666666,-0.3703333333333333,1.595,0.0806666666666666,0.0,0.0015033333333333,5.133333333333333
TTO,TRINIDAD AND TOBAGO,1964,MtCO2,3.795,0.0036666666666666,1.617,2.086333333333333,0.088,0.0,0.0042899999999999,6.013333333333333
TTO,TRINIDAD AND TOBAGO,1965,MtCO2,5.195666666666666,0.0036666666666666,2.849,2.251333333333333,0.0953333333333333,0.0,0.00583,4.931666666666666
TTO,TRINIDAD AND TOBAGO,1966,MtCO2,4.0553333333333335,0.0036666666666666,1.3016666666666663,2.6436666666666664,0.1063333333333333,0.0,0.0044733333333333,4.843666666666666
TTO,TRINIDAD AND TOBAGO,1967,MtCO2,4.638333333333333,0.0,1.6243333333333332,2.9186666666666663,0.0953333333333333,0.0,0.0050233333333333,4.851
TTO,TRINIDAD AND TOBAGO,1968,MtCO2,4.040666666666667,0.0,0.8726666666666666,3.0616666666666665,0.1063333333333333,0.0,0.0042899999999999,5.166333333333333
TTO,TRINIDAD AND TOBAGO,1969,MtCO2,3.905,0.0,0.7076666666666667,3.076333333333333,0.121,0.0,0.0041066666666666,4.700666666666666
TTO,TRINIDAD AND TOBAGO,1970,MtCO2,8.998,0.0,3.355,3.582333333333333,0.1356666666666666,1.9213333333333331,0.0093133333333333,5.122333333333333
TTO,TRINIDAD AND TOBAGO,1971,MtCO2,8.103333333333333,0.0,2.6986666666666665,3.4906666666666664,0.1283333333333333,1.7856666666666663,0.0082866666666666,5.379
TTO,TRINIDAD AND TOBAGO,1972,MtCO2,8.242666666666667,0.0,2.959,3.615333333333333,0.143,1.5253333333333332,0.00836,5.544
