code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
TUR,Turkey,CAIT,Total excluding LUCF,All GHG,206.2097598,208.6745901,216.1590883,222.6699068,217.8552361,232.43683,250.193056,259.32374,260.5170405,260.4201889,284.4217984,262.2445088,272.5181149,284.4083025,290.6910295,303.2339479,332.6091634,362.5539252,361.1378372,364.5579305,374.3303616,396.9054803,411.0209911,402.2372252,427.1238404,433.8494436,460.8178541,502.6714944,502.5194952
TUR,Turkey,CAIT,Total including LUCF,All GHG,189.2728847,191.737715,199.2222132,205.7330317,200.918361,215.4999549,233.2616749,242.3880554,243.5878112,243.4899983,267.4849233,219.2818258,229.5554319,241.4487326,247.7283465,260.2734167,289.6495934,319.593394,318.1825708,321.5952475,331.3676786,337.2390581,351.3524171,342.5686513,367.4543052,374.1808697,432.1688001,474.0310474,473.8704412
TUR,Turkey,CAIT,Energy ,All GHG,138.3680228,141.231078,146.0859138,152.2308783,149.6802287,163.5497618,180.324787,188.5854278,188.7709004,189.281289,212.8457515,193.2915256,202.839457,213.6149651,218.025866,227.2797964,252.2456682,280.555521,278.6066543,277.7761677,284.1789563,303.9000784,314.1241248,299.9179989,323.2199142,329.849231,352.9474467,392.761021,388.3155953
TUR,Turkey,CAIT,Industrial Processes ,All GHG,12.75571129,14.33185105,15.52445224,14.93750209,15.36811694,16.23822357,16.80769919,17.33934535,17.57711769,16.84165683,17.41971678,17.31873484,18.05119573,18.75113254,20.24637053,22.44978602,25.34799852,27.20960574,29.19770147,31.34644742,35.63010192,37.45505693,38.18202147,40.87896844,42.11783847,41.00137556,43.53062349,45.71078778,47.91095208
TUR,Turkey,CAIT,Agriculture ,All GHG,44.1201517,41.9134529,43.130314,43.8481844,40.8892019,40.3854885,40.4930653,40.3598173,40.7377959,40.3784521,39.7810206,36.7829608,36.284664,36.2398747,36.0027315,36.6562249,37.632007,37.1379111,35.6169575,37.6231445,36.3775495,37.1153257,40.6309834,44.6960514,45.195431,46.0326803,48.1770794,47.7651531,49.5865873
TUR,Turkey,CAIT,Waste ,All GHG,10.96587409,11.19820813,11.41840826,11.6533421,11.91768856,12.26335614,12.56750459,13.03914958,13.43122652,13.91879094,14.37530949,14.85128756,15.34279816,15.8023302,16.41606152,16.84814065,17.38348965,17.65088742,17.71652387,17.81217091,18.14375386,18.43501926,18.08386143,16.74420645,16.59065674,16.96615682,16.16270454,16.4345325,16.70636046
TUR,Turkey,CAIT,Land-Use Change and Forestry ,All GHG,-16.9368751,-16.9368751,-16.9368751,-16.9368751,-16.9368751,-16.9368751,-16.93138109,-16.93568462,-16.92922932,-16.93019062,-16.9368751,-42.962683,-42.962683,-42.95956994,-42.962683,-42.96053123,-42.95956994,-42.96053123,-42.95526641,-42.962683,-42.962683,-59.66642218,-59.66857394,-59.66857394,-59.66953523,-59.66857394,-28.64905401,-28.64044694,-28.64905401
TUR,Turkey,CAIT,Bunker Fuels ,All GHG,0.914,1.118,1.129,1.263,1.117,1.37,1.37,1.832,1.988,2.361,2.825,2.293,4.256,4.642,6.042,6.589,6.029,6.114,5.982,5.122,4.803,3.959,3.672,6.889,11.01,13.359,13.02,13.305,14.27
TUR,Turkey,CAIT,Electricity/Heat ,All GHG,39.441,41.486,44.704,45.092,50.558,51.829,57.633,63.182,67.644,71.901,74.956,76.584,71.541,72.299,73.719,81.154,90.193,106.651,114.183,112.212,112.762,123.12,126.91,120.999,138.613,133.83,146.529,158.513,159.04
TUR,Turkey,CAIT,Manufacturing/Construction ,All GHG,32.76,34.573,33.159,33.163,30.342,33.688,42.075,45.515,46.997,41.361,58.028,42.427,53.095,59.954,58.611,54.958,63.087,62.921,37.531,41.615,48.683,52.082,54.092,46.478,47.982,50.611,51.061,68.791,72.12
