code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
TZA,"Tanzania, United Republic of",CAIT,Total excluding LUCF,All GHG,44.37683957,44.6,44.6,45.0,45.1,49.2,47.4,47.0,50.5,51.39860347,49.27145996,51.37244677,56.54996419,61.7298279,62.61829905,66.43714454,64.63511764,67.74502986,70.48782275,71.62905109,75.94547726,81.79350856,87.94958965,93.93823555,97.64869985,103.8180806,104.6611225,103.3280953,105.3769014
TZA,"Tanzania, United Republic of",CAIT,Total including LUCF,All GHG,102.747762,103.0,103.0,103.0,104.0,108.0,101.0,101.0,105.0,104.7403725,102.0231731,107.457168,113.5811298,122.5505377,122.484098,128.9713382,124.2683234,127.089129,130.3548212,133.0317087,136.6877119,140.8407876,148.1515345,152.417846,155.9161913,164.6544113,176.8106792,175.4938031,175.5681025
TZA,"Tanzania, United Republic of",CAIT,Energy ,All GHG,8.146347924,8.107161983,8.089976042,8.133790101,8.20860416,8.86573974,9.231992499,9.175245259,9.000498018,8.885750778,9.400003538,10.37568513,11.58336672,12.53804832,14.65534995,16.02247772,17.13663015,17.61576051,18.48040004,18.96310952,20.53128402,24.33545965,28.56163529,32.16081092,34.48598655,37.91316218,37.53714566,38.40112913,39.04011261
TZA,"Tanzania, United Republic of",CAIT,Industrial Processes ,All GHG,0.22958975,0.231245384,0.232901017,0.23445665,0.146112283,0.261667916,0.326149416,0.291930916,0.368112415,0.399393915,0.409875415,0.440863826,0.498252236,0.563940647,0.605729058,0.644317469,0.657761691,0.771305913,0.833650135,0.923694356,1.084938578,1.168626702,1.284614826,1.262402949,1.488991073,1.667579197,1.809940775,1.927302354,2.044663933
TZA,"Tanzania, United Republic of",CAIT,Agriculture ,All GHG,32.7390364,32.9379157,32.9325342,33.2934065,33.3547578,36.5618745,34.2511248,33.9145909,37.3891777,38.3274177,35.6025237,36.6078087,40.4312243,44.5016862,43.1420355,45.466133,42.4225881,44.8259044,46.5277922,46.9823455,49.4554316,51.2713776,52.9410734,55.208534,56.223013,58.6424084,59.5624768,57.091476,58.2273085
TZA,"Tanzania, United Republic of",CAIT,Waste ,All GHG,3.261865497,3.301871622,3.341877748,3.381883874,3.42189,3.493976171,3.566992399,3.640008627,3.713024854,3.786041082,3.85905731,3.948089118,4.037120926,4.126152734,4.215184542,4.30421635,4.418137691,4.532059032,4.645980373,4.759901714,4.873823055,5.018044599,5.162266144,5.306487688,5.450709232,5.594930776,5.751559289,5.908187802,6.064816314
TZA,"Tanzania, United Republic of",CAIT,Land-Use Change and Forestry ,All GHG,58.37092247,58.37092247,58.37092247,58.37092247,58.37092247,58.36140437,53.53249131,53.57951696,54.25856435,53.34176907,52.75171318,56.08472127,57.03116564,60.82070979,59.86579891,62.53419362,59.63320578,59.34409914,59.86699847,61.4026576,60.74223468,59.04727905,60.20194484,58.47961043,58.26749146,60.83633079,72.14955673,72.16570783,70.1912011
TZA,"Tanzania, United Republic of",CAIT,Bunker Fuels ,All GHG,0.304,0.292,0.282,0.215,0.225,0.263,0.26,0.257,0.25,0.26,0.257,0.282,0.301,0.323,0.346,0.262,0.278,0.297,0.309,0.326,0.389,0.67,0.403,0.469,0.503,0.506,0.451,0.462,0.432
TZA,"Tanzania, United Republic of",CAIT,Electricity/Heat ,All GHG,0.292,0.292,0.289,0.348,0.439,0.59,0.432,0.478,0.115,0.185,0.327,0.156,0.12,0.115,1.252,1.354,1.586,1.385,1.236,1.204,1.472,1.917,2.491,2.846,2.421,2.859,2.565,2.409,2.307
TZA,"Tanzania, United Republic of",CAIT,Manufacturing/Construction ,All GHG,0.337,0.349,0.349,0.398,0.393,0.374,0.369,0.335,0.411,0.462,0.472,0.399,0.387,0.384,0.401,0.45,0.458,0.448,0.423,0.404,0.443,0.81,0.797,0.986,1.437,1.555,1.303,1.833,1.927
TZA,"Tanzania, United Republic of",CAIT,Transportation ,All GHG,0.7,0.655,0.683,0.711,0.711,0.897,1.202,1.176,1.394,1.159,1.46,1.75,2.197,2.311,2.396,2.764,2.907,2.847,3.096,3.016,3.536,4.034,5.18,5.658,5.456,5.708,5.318,5.379,5.621
TZA,"Tanzania, United Republic of",CAIT,Building,All GHG,0.342,0.348,0.317,0.238,0.238,0.506,0.666,0.57,0.396,0.251,0.283,0.377,0.402,0.427,0.462,0.493,0.525,0.563,0.594,0.509,0.52,0.424,0.355,0.341,0.253,0.284,0.42,0.428,0.41
TZA,"Tanzania, United Republic of",CAIT,Other Fuel Combustion ,All GHG,6.452597924,6.441849483,6.431101042,6.420352601,6.40960416,6.478329217,6.539548031,6.590766845,6.654985659,6.796204472,6.821423286,7.466902451,8.061381615,8.69386078,9.327339944,9.959819109,10.47962773,11.01443636,11.57324498,12.1020536,12.64686223,15.05870965,17.46955708,19.8804045,22.29125193,24.70209935,25.05480173,25.40550411,25.75620649
TZA,"Tanzania, United Republic of",CAIT,Fugitive Emissions ,All GHG,0.02275,0.0213125,0.019875,0.0184375,0.017,0.020410523,0.023444468,0.026478414,0.02951236,0.032546306,0.035580251,0.225782681,0.41598511,0.606187539,0.817010005,1.001658613,1.182002422,1.357324158,1.558155066,1.728055918,1.913421799,2.091750004,2.270078209,2.448406414,2.62673462,2.805062825,2.876343924,2.947625023,3.018906122
TZA,"Tanzania, United Republic of",CAIT,Total excluding LUCF,CO2,1.8913,1.864,1.8587,1.9143,1.911,2.7346,3.0711,2.8859,2.6931,2.5154,2.9459,3.1272,3.5669,3.7619,5.095620037,5.675966216,6.060944144,5.911,6.095365028,5.9255,6.9123,8.1624,9.8668,10.806,10.72,11.688,10.917,11.361,11.58
TZA,"Tanzania, United Republic of",CAIT,Total including LUCF,CO2,54.0222919,53.9949919,53.9896919,54.0452919,54.0419919,54.8560738,55.1921016,55.0169334,54.8306069,54.6676425,55.0765926,55.2367692,55.6561022,55.8391889,57.14342294,57.72164402,58.09649984,57.917991,58.07450513,57.8901874,58.8835992,60.1297706,61.8346877,62.7638688,62.6774887,63.6454887,75.0337088,75.4737619,75.6793925
TZA,"Tanzania, United Republic of",CAIT,Energy ,CO2,1.671,1.644,1.638,1.695,1.781,2.492,2.775,2.636,2.377,2.179,2.609,2.765,3.154,3.288,4.586620037,5.134066216,5.525044144,5.278,5.419465028,5.178,6.022,7.24,8.881,9.892,9.631,10.473,9.677,10.122,10.34
TZA,"Tanzania, United Republic of",CAIT,Industrial Processes ,CO2,0.2203,0.22,0.2197,0.2193,0.129,0.2426,0.2961,0.2509,0.3161,0.3364,0.3359,0.3612,0.4129,0.4729,0.509,0.5419,0.5369,0.632,0.6759,0.7475,0.8903,0.9224,0.9868,0.913,1.088,1.215,1.24,1.24,1.24
TZA,"Tanzania, United Republic of",CAIT,Land-Use Change and Forestry ,CO2,52.1309919,52.1309919,52.1309919,52.1309919,52.1309919,52.1214738,52.1210016,52.1310334,52.1375069,52.1522425,52.1306926,52.1095692,52.0892022,52.0772889,52.0478029,52.0456778,52.0355557,52.006991,51.9791401,51.9646874,51.9712992,51.9673706,51.9678877,51.9578688,51.9574887,51.9574887,64.1167088,64.1127619,64.0993925
TZA,"Tanzania, United Republic of",CAIT,Bunker Fuels ,CO2,0.304,0.292,0.282,0.215,0.225,0.263,0.26,0.257,0.25,0.26,0.257,0.282,0.301,0.323,0.346,0.262,0.278,0.297,0.309,0.326,0.389,0.67,0.403,0.469,0.503,0.506,0.451,0.462,0.432
TZA,"Tanzania, United Republic of",CAIT,Electricity/Heat ,CO2,0.292,0.292,0.289,0.348,0.439,0.59,0.432,0.478,0.115,0.185,0.327,0.156,0.12,0.115,1.252,1.354,1.586,1.385,1.236,1.204,1.472,1.917,2.491,2.846,2.421,2.859,2.565,2.409,2.307
TZA,"Tanzania, United Republic of",CAIT,Manufacturing/Construction ,CO2,0.337,0.349,0.349,0.398,0.393,0.374,0.369,0.335,0.411,0.462,0.472,0.399,0.387,0.384,0.401,0.45,0.458,0.448,0.423,0.404,0.443,0.81,0.797,0.986,1.437,1.555,1.303,1.833,1.927
TZA,"Tanzania, United Republic of",CAIT,Transportation ,CO2,0.7,0.655,0.683,0.711,0.711,0.897,1.202,1.176,1.394,1.159,1.46,1.75,2.197,2.311,2.396,2.764,2.907,2.847,3.096,3.016,3.536,4.034,5.18,5.658,5.456,5.708,5.318,5.379,5.621
TZA,"Tanzania, United Republic of",CAIT,Building,CO2,0.342,0.348,0.317,0.238,0.238,0.506,0.666,0.57,0.396,0.251,0.283,0.377,0.402,0.427,0.462,0.493,0.525,0.563,0.594,0.509,0.52,0.424,0.355,0.341,0.253,0.284,0.42,0.428,0.41
TZA,"Tanzania, United Republic of",CAIT,Other Fuel Combustion ,CO2,0.0,0.0,0.0,0.0,0.0,0.125,0.106,0.077,0.061,0.122,0.067,0.083,0.048,0.051,0.055,0.058,0.039,0.035,0.055,0.045,0.051,0.055,0.058,0.061,0.064,0.067,0.071,0.073,0.075
TZA,"Tanzania, United Republic of",CAIT,Fugitive Emissions ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020620037,0.015066216,0.010044144,0.0,0.015465028,0.0,0.0,0.0,0.0,0.0,0.0,,,,
