code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,1531.39337,42879.01436,41347.62099
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,39.7028254,10521.248731,10838.8713342
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,170591.1,4776550.8,4605959.7
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,850.95,850.95,850.95
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,8352.141794,2213317.57541,2280134.709762
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,4955.213,138745.96399999998,133790.751
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,21.1327848,5600.187972,5769.2502504
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,3257.851,91219.828,87961.977
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-residential,CH4,28,27.0,50.5736,1416.0608,1365.4872
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-residential,N2O,265,273.0,0.252868,67.01002,69.03296399999999
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,CO2,1,1.0,3965.32,3965.32,3965.32
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,CH4,28,27.0,55195.4435094,1545472.4182632,1490276.9747538
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,N2O,265,273.0,735.964187128,195030.50958892,200918.223085944
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,CO2,1,1.0,2169.764,2169.764,2169.764
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,CH4,28,27.0,0.063248,1.770944,1.707696
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.01522634,4.0349801,4.15679082
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),CO2,1,1.0,148506.32,148506.32,148506.32
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),CH4,28,27.0,2210.541029,61895.148812,59684.607783
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),N2O,265,273.0,400.10589117,106028.06116005,109228.90828941
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Cement,CO2,1,1.0,94354.0,94354.0,94354.0
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Chemicals,CO2,1,1.0,45051.061,45051.061,45051.061
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Chemicals,N2O,265,273.0,0.10390666,27.5352649,28.36651818
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Metals,CO2,1,1.0,800.0,800.0,800.0
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),CO2,1,1.0,148925.865,148925.865,148925.865
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),CH4,28,27.0,260.4104489,7291.4925692,7031.0821203000005
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),N2O,265,273.0,36.16200881,9582.93233465,9872.22840513
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Waste,CH4,28,27.0,47033.606946,1316940.994488,1269907.387542
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Industry,Waste,N2O,265,273.0,324.0813,85881.5445,88474.1949
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Domestic Aviation,CO2,1,1.0,38250.846,38250.846,38250.846
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Domestic Aviation,CH4,28,27.0,0.2683984,7.5151552,7.246756799999999
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Domestic Aviation,N2O,265,273.0,1.0735934,284.502251,293.0909982
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Other (transport),CO2,1,1.0,867.904,867.904,867.904
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Other (transport),CH4,28,27.0,0.0486073,1.3610044,1.3123971
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Other (transport),N2O,265,273.0,0.33498,88.7697,91.44954
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Road,CO2,1,1.0,37515.246,37515.246,37515.246
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Road,CH4,28,27.0,12.71076595,355.90144660000004,343.19068065000005
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1970,Transport,Road,N2O,265,273.0,0.7406841,196.2812865,202.2067593
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,1518.98329,42531.53212,41012.54883
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,39.3810502,10435.978303,10751.0267046
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,171033.71,4788943.88,4617910.17
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,936.046,936.046,936.046
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,8443.498986,2237527.23129,2305075.223178
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,5010.20734,140285.80552,135275.59818
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,30.2779258,8023.650337,8265.8737434
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,Rice cultivation (CH4),CH4,28,27.0,4940.296,138328.288,133387.992
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Buildings,Non-residential,CH4,28,27.0,51.0686,1429.9208,1378.8522
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Buildings,Non-residential,N2O,265,273.0,0.255343,67.66589499999999,69.70863899999999
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Buildings,Residential,CO2,1,1.0,3965.32,3965.32,3965.32
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Buildings,Residential,CH4,28,27.0,55669.1435094,1558736.0182631998,1503066.8747538
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Buildings,Residential,N2O,265,273.0,742.280187128,196704.24958892,202642.491085944
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Energy systems,Electricity & heat,CO2,1,1.0,2169.764,2169.764,2169.764
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Energy systems,Electricity & heat,CH4,28,27.0,0.063248,1.770944,1.707696
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Energy systems,Electricity & heat,N2O,265,273.0,0.01522634,4.0349801,4.15679082
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Energy systems,Other (energy systems),CO2,1,1.0,148506.32,148506.32,148506.32
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Energy systems,Other (energy systems),CH4,28,27.0,2242.611029,62793.108812000006,60550.497783000006
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Energy systems,Other (energy systems),N2O,265,273.0,403.08975117,106818.78406005,110043.50206941
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Cement,CO2,1,1.0,100655.0,100655.0,100655.0
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Chemicals,CO2,1,1.0,45971.968,45971.968,45971.968
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Chemicals,N2O,265,273.0,0.1069244,28.334966,29.1903612
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Metals,CO2,1,1.0,640.0,640.0,640.0
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Other (industry),CO2,1,1.0,148925.865,148925.865,148925.865
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Other (industry),CH4,28,27.0,262.5744489,7352.0845692,7089.5101203
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Other (industry),N2O,265,273.0,36.45060881,9659.41133465,9951.01620513
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Waste,CH4,28,27.0,48376.21328,1354533.97184,1306157.75856
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Industry,Waste,N2O,265,273.0,351.2503,93081.3295,95891.3319
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Domestic Aviation,CO2,1,1.0,38250.846,38250.846,38250.846
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Domestic Aviation,CH4,28,27.0,0.2683984,7.5151552,7.246756799999999
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Domestic Aviation,N2O,265,273.0,1.0735934,284.502251,293.0909982
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Other (transport),CO2,1,1.0,867.904,867.904,867.904
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Other (transport),CH4,28,27.0,0.0486073,1.3610044,1.3123971
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Other (transport),N2O,265,273.0,0.33498,88.7697,91.44954
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Road,CO2,1,1.0,37515.246,37515.246,37515.246
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Road,CH4,28,27.0,12.71076595,355.90144660000004,343.19068065000005
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1971,Transport,Road,N2O,265,273.0,0.7574002,200.711053,206.7702546
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,1478.769373,41405.542444000006,39926.773071
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,38.3384495,10159.6891175,10466.3967135
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,178740.51,5004734.28,4825993.7700000005
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,850.95,850.95,850.95
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,8797.937233,2331453.366745,2401836.8646090003
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,5215.61856,146037.31968,140821.70111999998
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,33.2987523,8824.1693595,9090.5593779
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,AFOLU,Rice cultivation (CH4),CH4,28,27.0,3636.138,101811.864,98175.726
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Buildings,Non-residential,CH4,28,27.0,52.2736,1463.6608,1411.3872
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Buildings,Non-residential,N2O,265,273.0,0.261368,69.26252,71.353464
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Buildings,Residential,CO2,1,1.0,4383.553,4383.553,4383.553
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Buildings,Residential,CH4,28,27.0,57241.793513,1602770.218364,1545528.4248509998
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Buildings,Residential,N2O,265,273.0,763.25075486,202261.4500379,208367.45607678
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Energy systems,Electricity & heat,CO2,1,1.0,2600.37,2600.37,2600.37
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Energy systems,Electricity & heat,CH4,28,27.0,0.076614,2.145192,2.068578
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Energy systems,Electricity & heat,N2O,265,273.0,0.01832578,4.8563317,5.00293794
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Energy systems,Other (energy systems),CO2,1,1.0,142876.01,142876.01,142876.01
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Energy systems,Other (energy systems),CH4,28,27.0,2295.379095,64270.61465999999,61975.235565
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Energy systems,Other (energy systems),N2O,265,273.0,414.45111189,109829.54465085,113145.15354597
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Industry,Cement,CO2,1,1.0,81008.0,81008.0,81008.0
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Industry,Chemicals,CO2,1,1.0,50260.756,50260.756,50260.756
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Industry,Chemicals,N2O,265,273.0,0.10987218,29.1161277,29.99510514
UGA,Uganda,Africa,Africa,Eastern Africa,ldc,1972,Industry,Metals,CO2,1,1.0,440.0,440.0,440.0
