code,name,unit,sector,source,subsource,gas,year,value
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1990,38.70722
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1991,35.87622
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1992,32.71444
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1993,30.3066
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1994,26.78126
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1995,24.96644
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1996,20.85404
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1997,20.88086
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1998,18.73526
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,1999,17.36148
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2000,16.01452
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2001,16.62244
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2002,16.60754
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2003,15.40362
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2004,16.49132
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2005,16.16054
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2006,16.66416
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2007,16.69694
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2008,19.51304
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2009,18.16012
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2010,19.3104
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2011,21.21164
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2012,20.8749
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2013,22.2183116931461
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2014,23.5617233862923
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2015,24.9051350794384
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2016,24.9725942723218
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2017,25.0400534652053
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2018,25.1075126580887
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2019,25.1749718509721
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2020,25.2424310438555
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2021,25.3157431910765
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2022,25.3890553382974
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2023,25.4623674855183
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2024,25.5356796327392
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2025,25.6089917799601
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2026,25.6837848899032
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2027,25.7585779998463
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2028,25.8333711097894
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2029,25.9081642197326
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2030,25.9829573296757
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2031,26.0500810543254
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2032,26.1172047789751
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2033,26.1843285036249
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2034,26.2514522282746
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2035,26.3185759529243
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2036,26.3769700884261
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2037,26.4353642239278
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2038,26.4937583594296
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2039,26.5521524949314
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2040,26.6105466304332
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2041,26.6630866393456
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2042,26.7156266482581
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2043,26.7681666571706
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2044,26.820706666083
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2045,26.8732466749955
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2046,26.9176430784827
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2047,26.9620394819698
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2048,27.006435885457
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2049,27.0508322889441
UKR,Ukraine,MtCO2eq,Agriculture,AgSoils,,N2O,2050,27.0952286924313
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1990,41.4605
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1991,40.4945
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1992,36.36925
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1993,34.9955
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1994,33.0765
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1995,29.47025
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1996,26.242
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1997,22.29925
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1998,21.481
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1999,18.69575
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2000,16.579
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2001,16.87825
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2002,16.91475
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2003,15.037
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2004,14.015
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2005,13.836
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2006,12.83375
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2007,12.26125
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2008,11.56225
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2009,11.154
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2010,10.6945
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2011,10.431
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2012,10.5465
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2013,10.3813152392992
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2014,10.2161304785984
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2015,10.0509457178976
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2016,9.9787526932721
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2017,9.90655966864658
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2018,9.83436664402106
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2019,9.76217361939554
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2020,9.68998059477002
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2021,9.61798590733691
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2022,9.5459912199038
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2023,9.47399653247069
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2024,9.40200184503758
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2025,9.33000715760446
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2026,9.25396192085289
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2027,9.17791668410132
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2028,9.10187144734975
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2029,9.02582621059817
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2030,8.9497809738466
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2031,8.8699996816753
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2032,8.79021838950401
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2033,8.71043709733272
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2034,8.63065580516143
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2035,8.55087451299013
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2036,8.46586074455932
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2037,8.38084697612851
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2038,8.2958332076977
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2039,8.2108194392669
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2040,8.12580567083609
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2041,8.04298898362573
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2042,7.96017229641537
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2043,7.87735560920502
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2044,7.79453892199466
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2045,7.7117222347843
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2046,7.62810458786308
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2047,7.54448694094185
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2048,7.46086929402062
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2049,7.37725164709939
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2050,7.29363400017817
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1990,21.021
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1991,20.01275
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1992,17.9985
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1993,14.8355
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1994,11.264
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1995,8.047
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1996,5.4495
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1997,3.732
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1998,2.495
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,1999,2.00575
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2000,1.49375
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2001,1.3455
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2002,1.4475
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2003,1.374
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2004,1.167
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2005,1.217
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2006,1.425
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2007,1.4775
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2008,1.50675
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2009,1.594
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2010,1.78975
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2011,1.81775
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2012,1.859
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2013,1.84095201338454
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2014,1.82290402676909
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2015,1.80485604015363
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2016,1.79725289027578
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2017,1.78964974039793
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2018,1.78204659052007
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2019,1.77444344064222
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2020,1.76684029076437
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2021,1.75861725927447
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2022,1.75039422778458
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2023,1.74217119629469
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2024,1.73394816480479
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2025,1.7257251333149
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2026,1.71638387150463
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2027,1.70704260969435
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2028,1.69770134788408
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2029,1.68836008607381
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2030,1.67901882426353
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2031,1.66834974899837
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2032,1.6576806737332
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2033,1.64701159846803
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2034,1.63634252320286
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2035,1.6256734479377
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2036,1.61358283373427
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2037,1.60149221953084
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2038,1.58940160532741
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2039,1.57731099112398
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2040,1.56522037692055
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2041,1.55279209727718
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2042,1.54036381763381
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2043,1.52793553799043
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2044,1.51550725834706
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2045,1.50307897870369
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2046,1.48999552176037
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2047,1.47691206481704
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2048,1.46382860787372
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2049,1.45074515093039
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,CH4,2050,1.43766169398707
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1990,8.27248
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1991,8.12646
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1992,8.26652
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1993,7.69734
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1994,7.37252
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1995,7.1073
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1996,6.35634
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1997,5.46234
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1998,5.03024
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,1999,4.80972
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,2000,4.40742
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,2001,4.21372
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,2002,4.32696
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,2003,4.0677
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,2004,3.64156
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,2005,3.46276
UKR,Ukraine,MtCO2eq,Agriculture,Livestock,Manure,N2O,2006,3.45084
