code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
USA,United States,CAIT,Total excluding LUCF,All GHG,5960.283303,5918.731515,6000.616871,6108.077216,6199.142137,6260.713015,6426.072428,6675.665097,6709.427421,6706.404334,6861.150514,6806.96887,6646.955263,6706.389532,6787.571466,6801.817635,6707.432936,6797.856497,6619.979724,6194.454648,6442.583403,6214.425872,5968.738599,6108.665545,6129.035876,6003.649313,5907.274315,5842.79935,6023.617235
USA,United States,CAIT,Total including LUCF,All GHG,5543.467366,5501.915578,5583.800934,5691.26128,5782.200785,5843.897009,6010.617202,6258.471975,6293.802807,6291.248666,6446.202875,6406.038213,6246.952693,6306.115048,6387.219732,6401.115735,6306.81389,6397.669351,6220.21178,5793.657761,6041.587568,5796.777723,5550.865181,5690.786319,5711.145565,5586.693443,5676.915917,5613.644132,5794.350398
USA,United States,CAIT,Energy ,All GHG,5238.408196,5203.592539,5274.780749,5379.687967,5455.600257,5501.615653,5656.071535,5914.902383,5948.593157,5957.908319,6118.727778,6088.072651,5920.540002,5982.755912,6057.160636,6069.181714,5969.290223,6044.825305,5883.246138,5484.759365,5716.127849,5483.266113,5246.425022,5391.945689,5402.757869,5277.138753,5172.825401,5100.775972,5271.213718
USA,United States,CAIT,Industrial Processes ,All GHG,164.714739,154.3116447,157.3106795,160.5701228,165.5133447,187.5436147,197.2763333,198.5123814,209.7117693,206.1352011,208.6971271,192.0897542,202.0667948,191.4867974,199.0281067,204.4249133,208.3922354,221.71512,208.9081954,190.552228,204.5873004,216.9952818,210.1538071,209.3479513,219.355992,221.2165849,222.0196381,227.9619048,233.9141716
USA,United States,CAIT,Agriculture ,All GHG,357.819432,358.9293107,366.4493178,367.5963851,377.5117093,375.805026,380.3390668,378.992269,377.3009505,374.7262416,369.0389887,366.9993498,366.3581673,371.2892296,372.8576566,371.7678127,375.3975908,378.9771783,377.601727,371.6898771,373.5950294,374.9334323,371.8487003,370.9389985,370.8200891,370.0938939,381.3999617,381.9267281,385.2491676
USA,United States,CAIT,Waste ,All GHG,199.3409363,201.89802,202.0761246,200.2227419,200.5168266,195.7487216,192.3854936,183.2580633,173.8215442,167.6345725,164.6866204,159.8071151,157.9902984,160.8575933,158.5250667,156.4431949,154.3528866,152.3388933,150.2236637,147.4531782,148.2732244,139.2310441,140.3110697,136.4329064,136.1019262,135.2000813,131.0293139,132.1347459,133.2401778
USA,United States,CAIT,Land-Use Change and Forestry ,All GHG,-416.8159366,-416.8159366,-416.8159366,-416.8159366,-416.9413522,-416.8160065,-415.4552265,-417.1931211,-415.6246138,-415.1556685,-414.9476391,-400.9306574,-400.0025698,-400.2744843,-400.351734,-400.7018995,-400.619046,-400.187146,-399.7679444,-400.7968874,-400.9958351,-417.6481487,-417.8734181,-417.8792265,-417.8903108,-416.9558699,-230.3583979,-229.1552183,-229.2668367
USA,United States,CAIT,Bunker Fuels ,All GHG,130.821,137.094,143.985,132.47,130.167,137.888,134.622,126.731,126.487,140.499,147.529,114.284,138.833,123.082,141.233,151.514,158.316,168.092,154.097,141.148,148.815,145.643,119.404,118.336,118.967,124.488,136.848,148.232,144.853
USA,United States,CAIT,Electricity/Heat ,All GHG,2159.791,2179.909,2276.966,2335.519,2360.699,2423.432,2504.043,2738.66,2800.148,2769.649,2801.387,2812.775,2679.752,2707.687,2742.058,2791.21,2722.957,2789.494,2719.591,2489.113,2609.557,2488.665,2360.197,2378.541,2376.192,2234.015,2145.514,2064.516,2103.172
USA,United States,CAIT,Manufacturing/Construction ,All GHG,604.51,566.946,517.678,532.469,534.893,486.845,485.968,506.773,512.789,499.41,567.171,540.068,490.874,485.472,511.736,477.38,495.861,486.053,474.825,407.597,466.391,435.76,438.638,434.886,437.256,433.885,439.024,429.405,458.792
