code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UZB,Uzbekistan,CAIT,Total excluding LUCF,All GHG,198.6825362,201.4082514,191.0896161,222.9945828,200.4380414,191.6868184,194.110229,188.586618,199.5705843,206.4222201,226.1664555,230.5255723,234.3429157,229.3261483,231.8069454,228.8610612,251.7204124,249.7048811,259.180832,232.9617122,238.3883656,242.3532451,230.3764244,232.9518436,226.0862706,222.8556916,230.9045536,234.9152101,235.5063837
UZB,Uzbekistan,CAIT,Total including LUCF,All GHG,197.9318064,200.6575216,190.342889,222.2478556,199.6913143,190.9400913,193.3644631,187.8365486,198.8205149,205.6688085,225.432639,218.9203297,222.7376731,217.7209057,220.2017028,217.2558186,240.1151698,238.0996385,247.5755894,221.3564696,226.783123,239.2294446,227.2526239,229.8280431,222.9624701,219.7318911,227.5390617,231.5497182,232.1408918
UZB,Uzbekistan,CAIT,Energy ,All GHG,170.3336219,173.2618381,164.9054919,197.3883634,175.34702,166.7869105,170.2189142,162.2499697,173.1793786,180.1698146,200.4611435,204.6460601,208.1853967,202.688579,203.9429951,199.5854236,221.0637524,217.6493668,225.5035527,197.2668814,200.9052101,203.5701128,190.0097298,191.2078945,182.7730591,178.1081788,182.8529315,185.9846842,185.7864369
UZB,Uzbekistan,CAIT,Industrial Processes ,All GHG,1.7135,2.237819646,4.662119293,4.252878939,3.554598586,3.224137091,3.245274805,3.152392519,3.333810232,3.083887946,3.114605659,3.42015867,3.432661681,3.650634691,4.141887702,4.406780712,4.646319305,5.010857898,5.44239649,5.678935083,5.856473676,5.759378428,5.793283181,5.906187933,6.089092686,6.349997438,6.572066527,6.630135616,6.688204704
UZB,Uzbekistan,CAIT,Agriculture ,All GHG,21.90099398,21.11304604,16.6562149,16.4351105,16.5785028,16.6774108,15.58324,18.0552658,17.8627155,17.9191276,17.3178564,17.1450436,17.3471073,17.5772246,18.2891426,19.4127268,20.4324436,21.3449922,22.4134515,24.0726973,25.5617162,26.8358948,28.2626588,29.4041151,30.6675792,31.7180823,34.6790755,35.3788631,35.9891678
UZB,Uzbekistan,CAIT,Waste ,All GHG,4.74793,4.80362,4.86579,4.91823,4.95792,4.99836,5.0628,5.12899,5.19468,5.24939,5.27285,5.31431,5.37775,5.40971,5.43292,5.45613,5.57789712,5.69966424,5.82143136,5.943198481,6.064965601,6.187859086,6.310752571,6.433646057,6.556539542,6.679433028,6.800480111,6.921527194,7.042574278
UZB,Uzbekistan,CAIT,Land-Use Change and Forestry ,All GHG,-0.750729763,-0.750729763,-0.746727155,-0.746727155,-0.746727155,-0.746727155,-0.745765865,-0.750069398,-0.750069398,-0.753411641,-0.733816556,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-3.1238005,-3.1238005,-3.1238005,-3.1238005,-3.1238005,-3.3654919,-3.3654919,-3.3654919
UZB,Uzbekistan,CAIT,Bunker Fuels ,All GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,CAIT,Electricity/Heat ,All GHG,47.203,47.202,48.244,47.109,41.752,35.758,37.98,38.268,41.304,39.736,43.439,43.102,43.256,40.232,43.204,39.135,43.699,42.333,44.871,42.366,42.223,44.657,44.144,46.388,46.444,46.255,47.67,48.535,52.951
UZB,Uzbekistan,CAIT,Manufacturing/Construction ,All GHG,0.412,0.387,0.299,0.262,0.229,13.581,10.532,7.815,15.726,16.344,16.935,17.057,17.849,17.039,16.983,16.226,16.867,16.336,17.058,15.234,17.296,17.508,14.293,13.315,11.734,10.591,11.316,12.377,11.394
UZB,Uzbekistan,CAIT,Transportation ,All GHG,7.686,6.936,5.43,4.773,4.271,6.863,9.366,9.487,10.231,10.498,10.937,11.269,10.916,10.457,10.405,10.508,10.614,10.57,10.807,10.527,10.993,10.336,9.212,8.913,8.1,7.466,7.338,7.924,15.023
UZB,Uzbekistan,CAIT,Building,All GHG,0.003,0.003,0.003,0.003,0.003,29.361,32.166,36.203,40.125,41.867,43.863,44.652,46.82,44.964,44.966,42.924,44.549,42.827,44.661,39.643,45.585,46.298,37.533,36.317,32.148,29.176,31.28,34.316,26.929
UZB,Uzbekistan,CAIT,Other Fuel Combustion ,All GHG,63.09161,64.66142144,57.09487288,59.61049431,59.15505575,9.283577189,5.887890347,5.441493504,5.005116661,5.271659818,5.319202976,5.246024348,5.12876572,4.094317092,3.996828464,4.000649836,4.096647616,3.957645396,4.189643176,3.883640957,3.725638737,3.633238869,3.500839001,5.506439133,4.137039265,3.702639397,5.417185335,4.082731273,1.823277211
UZB,Uzbekistan,CAIT,Fugitive Emissions ,All GHG,51.9380119,54.07141667,53.83561905,85.62986905,69.93696429,71.93933333,74.28702381,65.03447619,60.7892619,66.45115476,79.96894048,83.31903571,84.21663095,85.9012619,84.38816667,86.79177381,101.2391047,101.6257214,103.9159095,85.61324042,81.08257136,81.13787395,81.32589083,80.76845535,80.21101987,80.9175394,79.83374616,78.74995292,77.66615968
UZB,Uzbekistan,CAIT,Total excluding LUCF,CO2,117.768,118.585,113.071,113.738,107.173,96.126,97.095,98.452,113.726,114.942,121.69,122.736,125.386,118.313,121.427,114.809,121.933,118.35,124.199,114.355,122.555,125.038,111.294,113.133,105.409,101.532955,107.34539,111.380825,112.08626
UZB,Uzbekistan,CAIT,Total including LUCF,CO2,116.9743373,117.7913373,112.2774369,112.9444369,106.3794369,95.3324369,96.3014369,97.6584369,112.9324369,114.1484369,120.8964369,111.1307574,113.7807574,106.7077574,109.8217574,103.2037574,110.3277574,106.7447574,112.5937574,102.7497574,110.9497574,121.9141995,108.1701995,110.0091995,102.2851995,98.4091545,103.9798981,108.0153331,108.7207681
UZB,Uzbekistan,CAIT,Energy ,CO2,117.768,118.584,110.579,111.367,105.072,94.58,95.662,96.949,112.135,113.442,120.209,121.053,123.694,116.52,119.295,112.542,119.586,115.796,121.371,111.45,119.631,122.246,108.502,110.264,102.393,98.289955,103.94039,107.973825,108.67926
UZB,Uzbekistan,CAIT,Industrial Processes ,CO2,,,2.493,2.37,2.101,1.545,1.433,1.502,1.592,1.498,1.482,1.682,1.693,1.792,2.132,2.267,2.348,2.554,2.827,2.905,2.924,2.792,2.791,2.869,3.017,3.243,3.407,3.407,3.407
UZB,Uzbekistan,CAIT,Land-Use Change and Forestry ,CO2,-0.793662717,-0.793662717,-0.7935631,-0.7935631,-0.7935631,-0.7935631,-0.7935631,-0.7935631,-0.7935631,-0.7935631,-0.7935631,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-11.6052426,-3.1238005,-3.1238005,-3.1238005,-3.1238005,-3.1238005,-3.3654919,-3.3654919,-3.3654919
