IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,1.2644570159999998e-05,1.2644570159999998e-05,1.242622197e-05,1.3808678129999998e-05,1.215659079e-05,1.5950845709999997e-05,1.665618561e-05,1.728021933e-05,2.081931201e-05,1.806939315e-05,1.787296599e-05,1.707197931e-05,1.698736698e-05,1.6901365229999997e-05,1.899409959e-05,1.94509872e-05,1.592670105e-05,1.66148406e-05,1.983246669e-05,2.6445970296e-05,2.8300219083e-05,3.1018478976e-05,4.0872146292e-05,2.6538604155e-05,4.862353689e-05,6.022897713e-05,5.4828645039e-05,5.819493599999999e-05,6.539985431999999e-05,5.622568704e-05,5.322177774e-05,6.471904130999999e-05,6.901960869e-05,8.119507382999999e-05,9.02677995e-05,9.136118655e-05,8.833337810999998e-05,8.897142878999999e-05,9.165516327e-05,0.0001352176317899,0.00011249890173,0.0001105963756199,0.00013182735492,0.00010892304801,0.00011437223886,0.00011563283061,0.0001111076514899,5.224599477e-05,5.073692003999999e-05
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,6.2617923e-08,6.1784271e-08,5.9303961e-08,6.097265999999998e-08,6.255179999999999e-08,2.373732e-07,2.3392727100000003e-07,2.9072637e-07,2.8110366000000004e-07,3.3985827e-07,5.7744351e-08,5.7487113e-08,5.5502865e-08,5.2632234e-08,5.2053309e-08,5.1134283e-08,4.9632426e-08,,,,1.53441351e-06,1.57796262e-06,1.4540949899999998e-06,1.48217634e-06,1.3596227999999998e-06,1.39178034e-06,1.5230889e-06,1.56437811e-06,2.01175461e-06,4.0498245e-06,2.37073554e-06,2.33092782e-06,2.40195564e-06,2.14999353e-06,2.45574963e-06,1.83609342e-06,1.7731259099999998e-06,1.7819144099999998e-06,1.64785212e-06,1.60604397e-06,1.7586290699999998e-06,1.20722184e-06,1.20979143e-06,1.29616983e-06,1.6941465899999998e-06,2.24122653e-06,2.08366128e-06,1.74032388e-06,1.74032388e-06
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,3.2437656e-05,3.2005764e-05,2.49319701e-05,2.51504271e-05,2.78708445e-05,2.52164664e-05,2.55760416e-05,2.31048828e-05,2.52584001e-05,2.53852893e-05,2.38544163e-05,2.31894198e-05,2.25868635e-05,1.94537214e-05,1.85216382e-05,1.82353005e-05,1.90257633e-05,1.6107395399999997e-05,1.4222555099999998e-05,1.33113969e-05,9.4632057e-06,1.0458315e-05,1.18441359e-05,1.19571309e-05,1.17106344e-05,1.16096085e-05,1.23193008e-05,1.23569658e-05,1.08075951e-05,1.00614096e-05,9.939040199999998e-06,9.7722261e-06,1.06120719e-05,9.7298739e-06,1.02509064e-05,8.6159943e-06,8.406325799999999e-06,7.9015869e-06,7.363033199999999e-06,7.1380755e-06,6.6322206e-06,7.233381899999999e-06,6.00966e-06,5.0012982e-06,4.539888e-06,4.3063371e-06,4.0989564e-06,4.0576923e-06,4.0576923e-06
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,1.93231773e-07,1.93231773e-07,2.099271609e-07,1.798561224e-07,1.965515103e-07,2.2017156660000003e-07,2.446458093e-07,2.55175353e-07,2.67696873e-07,2.648511009e-07,3.217677984e-07,3.713713479e-07,3.018484539e-07,4.137887781e-07,4.454499771e-07,5.004813879e-07,6.485900445e-07,2.0111525559e-06,2.2139458542e-06,3.2154994683e-06,2.8214499959999995e-06,2.720753316e-06,3.1773141333e-06,6.7670820297e-06,1.2206415726e-05,5.492764233e-06,4.74192585e-06,4.651123626e-06,1.1152159821e-05,1.1061767447999998e-05,9.4320184941e-06,1.00093304556e-05,1.07541546588e-05,1.06512461784e-05,1.33196361606e-05,9.6479264385e-06,8.9711623602e-06,8.661857854499998e-06,8.0414401419e-06,1.14779664792e-05,6.650870355e-06,8.728769447999999e-06,1.7331154686e-05,1.6751586591e-05,1.6059549689999996e-05,1.4644977003e-05,1.2993044508e-05,1.0252159389e-05,9.956031021e-06
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,1.295797923e-07,1.295797923e-07,1.6932657869999997e-08,8.49005091e-08,8.06315859e-08,9.1303587e-08,8.47580796e-08,1.060068312e-07,9.75168333e-08,7.413380144999999e-08,7.41336201e-08,9.53005131e-08,1.077889158e-07,9.92320695e-08,1.118386008e-07,1.74748023e-07,1.3507821269999998e-07,1.617207876e-07,1.6677646289999997e-07,3.080557575000001e-07,3.3094422e-07,3.337932285e-07,4.158638684999999e-07,3.060829485e-07,5.689242449999999e-07,6.19072821e-07,5.59929564e-07,6.22335447e-07,5.058620145e-07,5.21981379e-07,1.882616949e-07,2.212636284e-07,2.047798341e-07,2.57784003e-07,3.598430121e-07,3.729884877e-07,3.7870237979999993e-07,3.7266850260000006e-07,4.055307129e-07,5.429720276999999e-07,2.892402486e-07,4.121254638e-07,4.838388426e-07,3.9071048400000004e-07,4.1978091689999993e-07,4.2104266650000005e-07,4.145149593e-07,3.269484378e-07,3.175033671e-07
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,7.8881767371e-06,7.8881767371e-06,7.796822734799999e-06,9.252054873e-06,9.2455903314e-06,1.5632546132700002e-05,1.6962057941399997e-05,1.85992737444e-05,1.83580622856e-05,1.51403929227e-05,2.8520397292589995e-05,2.90680676775e-05,3.30531367518e-05,3.87958296591e-05,4.79222426016e-05,4.5245161881e-05,3.41719156476e-05,4.186610388e-05,5.05268516772e-05,8.018516051099999e-05,8.352723233574e-05,8.038065452759999e-05,0.0001036455167088,7.660237104629999e-05,0.0001424564231931,0.0001557822193109,0.0001322955678263,0.0001555080194223,0.0002062248523271,0.00020808851237,0.0001755859467969,0.0001860073378711,0.0001659917963807,0.0001772021386107,0.0001735764009238,0.0001799151973912,0.0001782756015034,0.0001721991736758,0.0001721599978992,0.0002677774179173,0.0001884600268627,0.0002074804885489,0.0002404451140266,0.0002080023289799,0.0002253106170323,0.0002133240407597,0.0002005846446015,0.0001582331300235,0.000153662429032
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,,,,,,,,,,,2.0850423300000002e-07,2.03863905e-07,2.16464661e-07,2.8550628e-07,2.984742e-07,2.9262636e-07,,,3.1651992e-08,4.5587205e-08,4.547560499999999e-08,,,,,7.862499e-08,7.111347299999999e-08,7.831223099999998e-08,8.210551500000002e-08,9.09862245e-07,8.463473369999999e-07,9.94711167e-07,1.1423392739999998e-06,1.158889833e-06,1.241730234e-06,7.980379289999999e-07,9.96838542e-07,9.401967989999998e-07,9.44199612e-07,1.369852056e-06,1.17496944e-06,9.233036279999998e-07,1.054423863e-06,8.753281829999999e-07,1.255159062e-06,1.101108933e-06,1.205630982e-06,9.525445019999998e-07,9.25030359e-07
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.3.e,Other Transportation,fossil,CH4,MtCO2,,,,,,,,,,1.10987037e-08,1.10987037e-08,1.08517887e-08,1.15224768e-08,1.33296435e-08,1.3935213e-08,1.36622673e-08,1.14027021e-08,1.09975941e-08,1.23031467e-08,1.7720043299999998e-08,1.3552026030000001e-07,1.32600888e-07,1.94784966e-07,1.7576936388e-06,3.233130678e-06,3.384532539e-06,3.124270179e-06,3.13613577e-06,3.679192251e-06,3.779863263e-06,5.245250219999998e-07,6.561298799999999e-07,6.90718068e-07,8.54730171e-07,1.110471336e-06,1.169701641e-06,1.2893987789999998e-06,1.17124758e-06,1.130106798e-06,1.574160687e-06,3.081869433e-06,3.92467347e-06,5.08867821e-06,3.97180494e-06,4.405343039999999e-06,4.75994367e-06,4.36257234e-06,3.4404812459999994e-06,3.341092518e-06
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.4,Other Sectors,fossil,CH4,MtCO2,7.94085615e-07,7.94085615e-07,8.998547940000001e-07,8.16377994e-07,9.22146894e-07,3.210666714e-06,3.6278953389e-06,3.6865617849e-06,3.6790725879e-06,3.9009032559e-06,4.758595625699999e-06,4.675391157599999e-06,4.9535208171e-06,5.8295661696e-06,8.741481804e-06,8.5880166543e-06,6.0758616222e-06,6.0780292848e-06,8.120497833e-06,1.2000284387999998e-05,1.2458177793e-05,1.1953352682e-05,1.5456304539e-05,1.12877541e-05,2.2182612309e-05,2.1857425812e-05,2.0900379366e-05,2.3689796814e-05,4.2060914514e-05,4.9791776292e-05,4.2562728657e-05,4.8816861291e-05,5.0098367439e-05,5.57795272032e-05,5.582979761849999e-05,5.456854143e-05,4.6576288179e-05,4.506876831599999e-05,4.5437274278099993e-05,6.567057973799998e-05,2.3192102664e-05,4.179627269099999e-05,7.178032401299999e-05,8.6801823234e-05,6.953046550199999e-05,6.558426550799999e-05,6.7009409784e-05,5.2941478995e-05,5.1412177881e-05
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.A.4,Other Sectors,bio,CH4,MtCO2,2.2125029499e-05,2.1830444001e-05,2.0954022138e-05,2.1387263382e-05,2.2101674688e-05,2.2090208625e-05,2.2071877488e-05,2.1538724391e-05,2.0961796194e-05,2.1101493168e-05,2.3142210489e-05,2.3186413296e-05,2.265661071e-05,2.1754664532e-05,2.242292868e-05,2.253838167e-05,2.22455628e-05,1.882411884e-05,1.883246931e-05,1.973993634e-05,8.320604166e-05,3.676320783e-05,3.614448348e-05,4.168755783e-05,4.128405408e-05,4.075921602e-05,4.073219487e-05,4.116649184999999e-05,4.156755435e-05,4.128112737e-05,2.66804631e-05,2.58611238e-05,2.51624799e-05,2.45949102e-05,2.38249539e-05,2.3142715199999995e-05,2.23498251e-05,2.19678183e-05,2.19936816e-05,2.16064854e-05,2.0022713999999995e-05,1.3356678599999998e-05,1.22491602e-05,1.11280824e-05,1.22387814e-05,1.17524007e-05,1.05322221e-05,1.03952889e-05,1.03952889e-05
