code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
VUT,Vanuatu,CAIT,Total excluding LUCF,All GHG,0.494688861,0.508728404,0.529105147,0.555895891,0.562046734,0.566745677,0.59065021,0.598179944,0.597151778,0.608690711,0.589820245,0.574669421,0.567907698,0.591172274,0.579866751,0.595489427,0.604901298,0.726942969,0.72537964,0.721094411,0.737218982,0.763070929,0.761321077,0.762489824,0.823155272,0.808950519,0.856917739,0.852138458,0.867678778
VUT,Vanuatu,CAIT,Total including LUCF,All GHG,0.496840628,0.510880171,0.531256914,0.558047657,0.5641985,0.568897443,0.59065021,0.598179944,0.597151778,0.608690711,0.589820245,0.574669421,0.567907698,0.591172274,0.579866751,0.597641194,0.604901298,0.726942969,0.72537964,0.721094411,0.737218982,0.763070929,0.761321077,0.762489824,0.823155272,0.813254052,0.856917739,0.859555048,0.867678778
VUT,Vanuatu,CAIT,Energy ,All GHG,0.079862437,0.079390642,0.075918847,0.075447052,0.074975257,0.077503462,0.098674283,0.103845104,0.100015925,0.108186746,0.110357567,0.114909686,0.105461805,0.110013925,0.089566044,0.094118163,0.093021513,0.137924863,0.126828214,0.153731564,0.154634914,0.164089084,0.153543253,0.147997423,0.198451592,0.176905761,0.222656303,0.209406844,0.218157385
VUT,Vanuatu,CAIT,Industrial Processes ,All GHG,0.00015168,0.000156953,0.000162226,0.000167498,0.000172771,0.000178043,0.000253741,0.000329438,0.000405135,0.000480833,0.00055653,0.00060407,0.00065161,0.00069915,0.00074669,0.00079423,0.000919076,0.001043921,0.001168767,0.001293612,0.001418458,0.001725387,0.002032316,0.002339245,0.002646174,0.002953103,0.003713035,0.004472967,0.005232899
VUT,Vanuatu,CAIT,Agriculture ,All GHG,0.3327425,0.3449031,0.3664009,0.3913127,0.3955846,0.3954046,0.3957844,0.3957894,0.3962365,0.3972507,0.3738555,0.3514719,0.3514774,0.3675092,0.3739709,0.3823608,0.3896473,0.4635636,0.4698749,0.4354643,0.4474635,0.4601876,0.4653099,0.4683508,0.4748884,0.4785558,0.4765135,0.4807247,0.4832555
VUT,Vanuatu,CAIT,Waste ,All GHG,0.081932244,0.08427771,0.086623175,0.08896864,0.091314106,0.093659571,0.095937787,0.098216002,0.100494217,0.102772433,0.105050648,0.107683765,0.110316882,0.112949999,0.115583116,0.118216234,0.121313409,0.124410584,0.127507759,0.130604935,0.13370211,0.137068859,0.140435608,0.143802357,0.147169106,0.150535855,0.154034901,0.157533948,0.161032994
VUT,Vanuatu,CAIT,Land-Use Change and Forestry ,All GHG,0.002151767,0.002151767,0.002151767,0.002151767,0.002151767,0.002151767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002151767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004303533,0.0,0.00741659,0.0
VUT,Vanuatu,CAIT,Bunker Fuels ,All GHG,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.007,0.007,0.009,0.01,0.011,0.028,0.031,0.034,0.034,0.035,0.032,0.03,0.031,0.031,0.032,0.032,0.036,0.033,0.04,0.042,0.044
VUT,Vanuatu,CAIT,Electricity/Heat ,All GHG,0.024,0.027,0.028,0.029,0.03,0.033,0.034,0.034,0.034,0.036,0.037,0.037,0.038,0.038,0.041,0.045,0.043,0.037,0.044,0.04,0.039,0.039,0.039,0.04,0.039,0.034,0.048,0.048,0.05
VUT,Vanuatu,CAIT,Manufacturing/Construction ,All GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VUT,Vanuatu,CAIT,Transportation ,All GHG,0.036,0.037,0.032,0.031,0.03,0.03,0.048,0.052,0.045,0.05,0.049,0.054,0.043,0.042,0.018,0.019,0.017,0.069,0.052,0.081,0.082,0.089,0.076,0.067,0.116,0.098,0.127,0.114,0.12
VUT,Vanuatu,CAIT,Building,All GHG,0.006,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.007,0.006,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
VUT,Vanuatu,CAIT,Other Fuel Combustion ,All GHG,0.012862437,0.012390642,0.011918847,0.011447052,0.010975257,0.010503462,0.012674283,0.014845104,0.017015925,0.019186746,0.021357567,0.021909686,0.022461805,0.023013925,0.023566044,0.024118163,0.025021513,0.025924863,0.026828214,0.027731564,0.028634914,0.031089084,0.033543253,0.035997423,0.038451592,0.040905761,0.041656303,0.042406844,0.043157385
VUT,Vanuatu,CAIT,Fugitive Emissions ,All GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
VUT,Vanuatu,CAIT,Total excluding LUCF,CO2,0.067,0.067,0.064,0.064,0.064,0.067,0.086,0.089,0.083,0.089,0.089,0.093,0.083,0.087,0.066,0.07,0.068,0.112,0.1,0.126,0.126,0.133,0.12,0.112,0.16,0.136,0.181,0.167,0.175
VUT,Vanuatu,CAIT,Total including LUCF,CO2,0.067,0.067,0.064,0.064,0.064,0.067,0.086,0.089,0.083,0.089,0.089,0.093,0.083,0.087,0.066,0.07,0.068,0.112,0.1,0.126,0.126,0.133,0.12,0.112,0.16,0.136,0.181,0.167,0.175
VUT,Vanuatu,CAIT,Energy ,CO2,0.066,0.067,0.063,0.063,0.063,0.066,0.085,0.089,0.082,0.089,0.089,0.093,0.083,0.087,0.065,0.071,0.067,0.112,0.101,0.126,0.126,0.133,0.12,0.112,0.16,0.137,0.18,0.167,0.175
VUT,Vanuatu,CAIT,Industrial Processes ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VUT,Vanuatu,CAIT,Bunker Fuels ,CO2,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.007,0.007,0.009,0.01,0.011,0.028,0.031,0.034,0.034,0.035,0.032,0.03,0.031,0.031,0.032,0.032,0.036,0.033,0.04,0.042,0.044
VUT,Vanuatu,CAIT,Electricity/Heat ,CO2,0.024,0.027,0.028,0.029,0.03,0.033,0.034,0.034,0.034,0.036,0.037,0.037,0.038,0.038,0.041,0.045,0.043,0.037,0.044,0.04,0.039,0.039,0.039,0.04,0.039,0.034,0.048,0.048,0.05
VUT,Vanuatu,CAIT,Manufacturing/Construction ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VUT,Vanuatu,CAIT,Transportation ,CO2,0.036,0.037,0.032,0.031,0.03,0.03,0.048,0.052,0.045,0.05,0.049,0.054,0.043,0.042,0.018,0.019,0.017,0.069,0.052,0.081,0.082,0.089,0.076,0.067,0.116,0.098,0.127,0.114,0.12
VUT,Vanuatu,CAIT,Building,CO2,0.006,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.007,0.006,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
VUT,Vanuatu,CAIT,Other Fuel Combustion ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VUT,Vanuatu,CAIT,Fugitive Emissions ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
VUT,Vanuatu,CAIT,Total excluding LUCF,CH4,0.318619054,0.329449961,0.346220868,0.366256775,0.372000183,0.37412609,0.377612313,0.380753536,0.38427726,0.388308483,0.375469706,0.36256199,0.364831773,0.379224056,0.385893839,0.394968622,0.402878218,0.456527813,0.464177408,0.443114503,0.455021598,0.466819107,0.473726616,0.479089124,0.487084133,0.492924142,0.494929417,0.501102193,0.506279969
VUT,Vanuatu,CAIT,Total including LUCF,CH4,0.31980953,0.330640437,0.347411345,0.367447252,0.373190659,0.375316566,0.377612313,0.380753536,0.38427726,0.388308483,0.375469706,0.36256199,0.364831773,0.379224056,0.385893839,0.396159099,0.402878218,0.456527813,0.464177408,0.443114503,0.455021598,0.466819107,0.473726616,0.479089124,0.487084133,0.495305094,0.494929417,0.504673621,0.506279969
VUT,Vanuatu,CAIT,Energy ,CH4,0.001707617,0.001709122,0.001710626,0.001712131,0.001713635,0.00171514,0.002638691,0.003562241,0.004485792,0.005409343,0.006332893,0.006334634,0.006336374,0.006338115,0.006339855,0.006341596,0.006344133,0.00634667,0.006349207,0.006351744,0.006354281,0.006356729,0.006359178,0.006361626,0.006364075,0.006366523,0.006213316,0.006060109,0.005906901
VUT,Vanuatu,CAIT,Industrial Processes ,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
