code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,962.90601,26961.36828,25998.46227
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,24.96424332,6615.5244798,6815.238426360001
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,66787.1,1870038.8000000005,1803251.7
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,21.2737,21.2737,21.2737
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,3357.6833272,889786.0817079999,916647.5483256
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,2969.60904,83149.05312,80179.44408
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,20.066383,5317.591495,5478.122559
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Buildings,Residential,CO2,1,1.0,172874.5,172874.5,172874.5
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Buildings,Residential,CH4,28,27.0,23.685,663.18,639.495
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Buildings,Residential,N2O,265,273.0,1.4021,371.5565,382.7733
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Electricity & heat,CO2,1,1.0,190487.3,190487.3,190487.3
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Electricity & heat,CH4,28,27.0,7.422,207.816,200.394
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Electricity & heat,N2O,265,273.0,1.4844,393.366,405.2412
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,2.68094,2.68094,2.68094
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,1510.4079,45312.237,45010.15542
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Other (energy systems),CH4,28,27.0,3845.4,107671.2,103825.8
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Other (energy systems),N2O,265,273.0,60.5663,16050.0695,16534.5999
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Petroleum refining,CO2,1,1.0,180497.0,180497.0,180497.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Petroleum refining,CH4,28,27.0,6.99602,195.88856,188.89254
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Energy systems,Petroleum refining,N2O,265,273.0,1.3992,370.788,381.9816
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Cement,CO2,1,1.0,208468.0,208468.0,208468.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Chemicals,CO2,1,1.0,217295.954,217295.954,217295.954
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Chemicals,N2O,265,273.0,930.89406,246686.9259,254134.07838
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Other (industry),N2O,265,273.0,3.55162,941.1793,969.59226
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Other (industry),HFC-125,3170,3740.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Other (industry),HFC-134a,1300,1530.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Other (industry),HFC-143a,4800,5810.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Other (industry),HFC-245fa,858,962.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Other (industry),HFC-32,677,771.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Other (industry),HFC-365mfc,804,914.0,0.0,0.0,0.0
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Waste,CH4,28,27.0,35305.60432,988556.92096,953251.31664
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Industry,Waste,N2O,265,273.0,204.4321,54174.5065,55809.9633
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Transport,Road,CO2,1,1.0,658763.14,658763.14,658763.14
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Transport,Road,CH4,28,27.0,266.429265,7460.01942,7193.590155
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1970,Transport,Road,N2O,265,273.0,12.186166,3229.33399,3326.823318
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,1011.811161,28330.712508,27318.901347
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,26.2321374,6951.516411,7161.3735102
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1971,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,72710.3,2035888.4,1963178.1
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,63.8213,63.8213,63.8213
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,ldc,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,3646.6857331,966371.7192715,995545.2051363
