code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ZWE,Zimbabwe,CAIT,Total excluding LUCF,All GHG,32.58009988,32.88217214,33.6881392,30.15275117,29.89081843,29.74718278,31.65639319,30.65280511,31.90680292,34.37090773,31.81326885,32.17018939,29.17507603,26.48294757,26.35871491,26.75786755,25.67976348,26.0900505,24.15048742,25.16594264,28.07670467,30.54927699,30.78499631,30.85814683,29.35131595,31.28332107,29.12449031,28.79822515,31.38458309
ZWE,Zimbabwe,CAIT,Total including LUCF,All GHG,43.1795817,43.48165396,44.28762102,40.75223299,40.49030025,40.3466646,42.26650666,41.44001289,42.75462944,45.06050292,42.23388031,43.13699739,40.16079156,37.48995158,37.38677821,37.86224852,36.73341879,37.25902901,35.34601923,36.27462714,39.30071236,42.03667449,42.36331547,42.41540669,40.83656168,42.8903453,116.5202567,116.092311,118.7686293
ZWE,Zimbabwe,CAIT,Energy ,All GHG,19.02283336,20.74295642,20.92007949,19.50820256,18.38732562,18.07009941,17.55282299,16.59354657,16.95827015,18.86099373,16.85671731,16.91222723,15.35473715,12.90024707,12.22375699,12.70226691,11.97474215,12.02421738,9.855692619,9.886167855,11.89864309,13.80857714,14.5485112,15.19644525,15.25037931,15.80631336,14.38182211,13.69433086,15.79283961
ZWE,Zimbabwe,CAIT,Industrial Processes ,All GHG,0.354403831,0.420339479,0.428975126,0.467610773,0.97114642,0.925682067,0.956737237,1.017592407,1.036547577,1.013802747,1.032857917,0.962469709,0.892781501,0.820793293,0.872305085,0.923516877,0.982092354,0.88486783,0.907143306,1.046718782,1.109994258,1.238788309,1.47688236,1.430776411,1.526870462,1.582264513,1.724462301,1.789060089,1.853657877
ZWE,Zimbabwe,CAIT,Agriculture ,All GHG,12.5629292,11.0561622,11.65359,9.4686627,9.8012907,9.8404528,12.0554822,11.7699131,12.4598299,12.8635537,12.1107338,12.4438368,11.0372059,10.8328599,11.2949097,11.1256448,10.6773778,11.0963019,11.2638759,12.0701682,12.8660673,13.2544562,12.4666921,11.8925592,10.1902449,11.4654666,10.5358778,10.7794546,11.1496545
ZWE,Zimbabwe,CAIT,Waste ,All GHG,0.639933486,0.662714036,0.685494586,0.708275135,0.731055685,0.910948499,1.091350763,1.271753027,1.452155291,1.632557556,1.81295982,1.851655649,1.890351478,1.929047307,1.967743136,2.006438965,2.045551176,2.084663387,2.123775597,2.162887808,2.202000018,2.247455334,2.29291065,2.338365965,2.383821281,2.429276596,2.482328096,2.535379595,2.588431094
ZWE,Zimbabwe,CAIT,Land-Use Change and Forestry ,All GHG,10.59948182,10.59948182,10.59948182,10.59948182,10.59948182,10.59948182,10.61011346,10.78720778,10.84782652,10.68959518,10.42061147,10.966808,10.98571553,11.00700401,11.0280633,11.10438097,11.05365531,11.16897851,11.19553181,11.1086845,11.2240077,11.4873975,11.57831916,11.55725987,11.48524573,11.60702423,87.39576634,87.29408585,87.38404622
ZWE,Zimbabwe,CAIT,Bunker Fuels ,All GHG,0.252,0.443,0.252,0.229,0.312,0.351,0.376,0.376,0.376,0.284,0.36,0.277,0.194,0.112,0.025,0.025,0.025,0.025,0.022,0.029,0.035,0.041,0.048,0.051,0.054,0.095,0.149,0.182,0.22
ZWE,Zimbabwe,CAIT,Electricity/Heat ,All GHG,6.983,8.721,8.824,8.057,8.514,7.453,6.684,5.964,6.202,5.956,5.357,6.921,6.351,4.68,5.724,6.047,3.899,3.408,2.701,2.765,4.897,6.01,5.621,6.783,6.85,7.213,6.224,5.412,6.596
ZWE,Zimbabwe,CAIT,Manufacturing/Construction ,All GHG,4.742,4.989,4.603,3.865,2.396,2.629,2.504,2.283,2.392,3.101,2.968,2.575,2.283,2.043,1.561,1.628,2.096,2.28,1.345,0.637,1.235,1.486,1.956,1.05,1.074,1.091,1.091,1.118,1.191
