,name,type,unit,"Total CO2 emissions 
from fuel combustion","Other energy 
industry own use*","Manuf. industries 
and construction",Transport,of which: road,Residential,Commercial and public services,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,World,sectors_alt_2019,MtCO2eq,33621.52686,2300.92616,12304.09207,8450.192487,6099.542377,5459.760538,3232.352002,,,,,,,,,,,,,,,
1,Annex I Parties ,sectors_alt_2019,MtCO2eq,12083.98205,975.297181,2860.867867,3684.051105,3060.592919,2421.276841,1796.615684,,,,,,,,,,,,,,,
2,   Annex II Parties   ,sectors_alt_2019,MtCO2eq,9222.027633,732.099521,1922.020656,3099.903081,2641.256271,1734.737381,1464.675879,,,,,,,,,,,,,,,
3,      North America      ,sectors_alt_2019,MtCO2eq,5315.457881,453.997886,872.137833,1955.821892,1611.121813,993.894664,868.559231,,,,,,,,,,,,,,,
4,      Europe      ,sectors_alt_2019,MtCO2eq,2436.232102,173.930542,570.877727,813.273477,752.356746,497.075153,308.792232,,,,,,,,,,,,,,,
5,      Asia Oceania,sectors_alt_2019,MtCO2eq,1470.33765,104.171093,479.005096,330.807712,277.777712,243.767564,287.324416,,,,,,,,,,,,,,,
6,   Annex I EIT   ,sectors_alt_2019,MtCO2eq,2487.468893,225.564142,811.113048,497.048572,338.857722,622.367939,269.110635,,,,,,,,,,,,,,,
7,Non-Annex I Parties ,sectors_alt_2019,MtCO2eq,20234.93831,1325.628979,9443.224206,3463.534876,3038.949458,3038.483697,1435.736318,,,,,,,,,,,,,,,
8,Annex B Kyoto Parties,sectors_alt_2019,MtCO2eq,3877.223067,306.986318,998.126988,1143.572014,1039.735258,798.751636,507.185415,,,,,,,,,,,,,,,
9,OECD Total,sectors_alt_2019,MtCO2eq,11317.68215,894.871838,2608.367516,3645.564902,3158.093764,2063.502484,1749.534114,,,,,,,,,,,,,,,
10,Non-OECD Total,sectors_alt_2019,MtCO2eq,21001.2382,1406.054322,9695.724557,3502.021079,2941.448613,3396.258054,1482.817888,,,,,,,,,,,,,,,
11,Canada,sectors_alt_2019,MtCO2eq,571.008661,132.779789,99.701129,192.643073,151.112681,67.01123,59.455888,,,,,,,,,,,,,,,
12,Chile,sectors_alt_2019,MtCO2eq,90.498027,2.545218,36.679263,29.381883,26.031467,10.869705,8.417094,,,,,,,,,,,,,,,
13,Mexico,sectors_alt_2019,MtCO2eq,419.39078,51.357412,130.073358,147.815313,143.117245,46.788231,18.284793,,,,,,,,,,,,,,,
14,United States,sectors_alt_2019,MtCO2eq,4744.44922,321.218097,772.436704,1763.178819,1460.009132,926.883434,809.103343,,,,,,,,,,,,,,,
15,OECD Americas,sectors_alt_2019,MtCO2eq,5900.223813,514.114083,1057.913716,2164.33525,1811.009461,1060.685534,899.754713,,,,,,,,,,,,,,,
16,Australia,sectors_alt_2019,MtCO2eq,380.742064,57.61719,97.037418,104.133529,83.056301,54.260996,59.495069,,,,,,,,,,,,,,,
17,Israel,sectors_alt_2019,MtCO2eq,60.874868,2.245473,11.737013,18.132592,17.786722,11.859244,10.82844,,,,,,,,,,,,,,,
18,Japan,sectors_alt_2019,MtCO2eq,1056.191721,44.807733,372.932202,210.477724,180.008778,187.1647,225.513855,,,,,,,,,,,,,,,
19,Korea,sectors_alt_2019,MtCO2eq,585.708457,49.949756,227.497005,107.941562,101.553294,76.187469,107.300376,,,,,,,,,,,,,,,
20,New Zealand,sectors_alt_2019,MtCO2eq,33.403865,1.74617,9.035476,16.196459,14.712633,2.341868,2.315492,,,,,,,,,,,,,,,
21,OECD Asia Oceania,sectors_alt_2019,MtCO2eq,2116.920975,156.366322,718.239114,456.881866,397.117728,331.814277,405.453232,,,,,,,,,,,,,,,
22,Austria,sectors_alt_2019,MtCO2eq,62.995254,6.255465,15.110159,25.522935,24.29989,10.519773,4.647948,,,,,,,,,,,,,,,
23,Belgium,sectors_alt_2019,MtCO2eq,90.189476,7.058331,26.253537,25.343167,24.414133,18.36218,10.778561,,,,,,,,,,,,,,,
24,Czech Republic,sectors_alt_2019,MtCO2eq,94.308208,5.474501,29.798679,19.995667,18.481182,21.513098,15.550209,,,,,,,,,,,,,,,
25,Denmark,sectors_alt_2019,MtCO2eq,28.352517,2.084247,4.418901,12.226082,11.310871,5.394927,2.642822,,,,,,,,,,,,,,,
26,Estonia,sectors_alt_2019,MtCO2eq,9.879884,0.464856,2.196896,2.448596,2.367876,2.043473,2.335361,,,,,,,,,,,,,,,
27,Finland,sectors_alt_2019,MtCO2eq,40.123301,3.618256,12.565881,11.180741,10.43861,6.169286,4.518394,,,,,,,,,,,,,,,
28,France,sectors_alt_2019,MtCO2eq,293.865169,19.968853,49.927431,126.382473,118.685413,53.048306,32.437496,,,,,,,,,,,,,,,
29,Germany,sectors_alt_2019,MtCO2eq,644.111015,28.306245,197.956391,165.155225,154.870364,154.273013,89.014972,,,,,,,,,,,,,,,
30,Greece,sectors_alt_2019,MtCO2eq,56.636837,4.879661,10.320159,17.651515,14.822952,12.7899,9.049287,,,,,,,,,,,,,,,
31,Hungary,sectors_alt_2019,MtCO2eq,45.359319,2.542327,11.052364,14.554416,14.023009,10.643038,4.74154,,,,,,,,,,,,,,,
32,Iceland,sectors_alt_2019,MtCO2eq,1.636258,3.7e-05,0.070116,1.012715,0.933079,0.007103,0.00165,,,,,,,,,,,,,,,
33,Ireland,sectors_alt_2019,MtCO2eq,33.857914,0.38079,6.386247,11.834234,11.366773,8.895864,5.581547,,,,,,,,,,,,,,,
34,Italy,sectors_alt_2019,MtCO2eq,309.324881,18.014782,71.179109,104.101916,95.747489,63.706137,43.376189,,,,,,,,,,,,,,,
35,Latvia,sectors_alt_2019,MtCO2eq,7.007674,0.003636,1.070521,3.242322,3.088673,1.209606,0.963626,,,,,,,,,,,,,,,
36,Lithuania,sectors_alt_2019,MtCO2eq,11.152158,1.489503,1.507911,6.273253,6.021238,1.116093,0.513488,,,,,,,,,,,,,,,
37,Luxembourg,sectors_alt_2019,MtCO2eq,9.094359,0.0,1.028279,6.211658,6.198547,0.963355,0.83484,,,,,,,,,,,,,,,
38,Netherlands,sectors_alt_2019,MtCO2eq,146.324407,13.640702,42.366416,31.31121,29.739991,25.009457,22.393838,,,,,,,,,,,,,,,
39,Norway,sectors_alt_2019,MtCO2eq,34.860066,13.032304,6.670562,11.583965,8.363621,0.665613,2.056715,,,,,,,,,,,,,,,
40,Poland,sectors_alt_2019,MtCO2eq,287.38067,18.387398,75.693882,66.730239,63.072763,68.368568,46.482872,,,,,,,,,,,,,,,
41,Portugal,sectors_alt_2019,MtCO2eq,42.413625,3.089089,10.202349,17.32032,16.39578,5.073244,5.2239,,,,,,,,,,,,,,,
42,Slovak Republic,sectors_alt_2019,MtCO2eq,29.672307,4.435423,9.504219,7.907984,7.305565,4.82404,2.719473,,,,,,,,,,,,,,,
43,Slovenia,sectors_alt_2019,MtCO2eq,13.122155,0.035234,3.888531,5.597435,5.508418,1.873769,1.424483,,,,,,,,,,,,,,,
