,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,World,total_fuel_combustion,MtCO2eq,14284.28849,14967.53648,15815.82696,15786.66436,15852.70518,16687.24512,17250.80014,17760.74386,18286.99491,18108.29945,17879.2727,17692.71034,17806.19496,18401.99096,18681.81598,19016.036,19654.96321,20318.01131,20697.29353,20988.10311,21115.6608,21054.69429,21175.77725,21271.55485,21856.83611,22303.89288,22711.30994,22886.01922,23025.29552,23743.13052,24090.85197,24433.60897,25477.74805,26666.23845,27630.76328,28509.38234,29562.60108,29784.7617,29347.22135,31152.11079,32034.06832,32384.93321,33000.3451,33060.84648,32962.67823,32986.78825,33534.77751,34248.77321,34233.90078,
1,Annex I Parties ,total_fuel_combustion,MtCO2eq,,,,,,,,,,,,,,,,,,,,13888.94644,13771.57515,13472.74374,13273.60176,13090.2314,13156.46172,13415.90167,13488.78741,13490.99309,13532.04438,13796.80786,13817.95894,13706.42038,13975.45433,14035.88448,14040.71188,14013.13033,14146.91941,13815.08476,12895.20428,13420.91614,13227.48676,13020.28526,13025.67935,12761.97387,12598.30346,12498.42242,12471.10133,12594.16911,12261.05669,
2,   Annex II Parties   ,total_fuel_combustion,MtCO2eq,8686.29789,9070.529451,9558.51404,9314.457382,8952.973336,9456.772447,9635.387434,9695.475654,9908.375791,9534.048472,9278.763822,8922.362467,8843.220514,9117.276256,9189.060478,9170.06013,9371.704382,9681.072575,9825.227248,9782.034317,9803.625663,9845.232742,9904.295263,10049.84435,10168.76957,10465.62856,10682.39558,10763.53346,10814.97685,11043.87274,11068.20506,10967.49972,11141.1398,11225.8784,11242.11981,11107.15049,11208.0662,10884.07875,10180.67016,10565.35573,10268.99077,10076.69603,10169.60617,9957.368866,9841.350045,9722.070973,9629.752397,9685.111853,9366.760232,
3,      North America      ,total_fuel_combustion,MtCO2eq,4684.496013,4944.3768,5127.602,4985.470281,4792.773859,5069.159625,5248.314137,5241.09639,5283.866104,5081.564239,4999.93998,4768.769823,4735.919502,4944.157498,4972.191486,4928.401275,5096.442644,5337.812734,5416.058193,5280.21569,5237.02734,5323.583369,5438.653668,5527.089593,5588.307031,5760.62327,6044.157709,6098.87491,6127.411561,6314.928598,6278.741531,6140.321515,6227.657322,6299.268902,6328.034747,6217.684069,6333.629899,6136.513938,5713.265534,5962.540163,5749.490947,5520.736085,5669.688673,5683.328334,5561.823416,5470.446719,5403.38618,5566.63584,5400.917502,
4,      Europe      ,total_fuel_combustion,MtCO2eq,3085.475739,3164.768112,3349.306898,3243.627344,3105.181027,3301.635738,3261.534784,3339.509089,3482.750609,3348.646863,3198.57927,3091.681058,3051.225169,3049.453559,3101.129983,3125.383721,3142.098548,3133.787271,3157.93395,3156.225569,3207.356137,3146.717422,3093.922713,3092.345223,3128.863938,3228.267982,3161.22346,3205.16804,3185.987642,3203.226454,3266.72239,3257.857517,3334.378386,3338.83414,3318.768311,3311.951336,3250.860433,3184.955782,2955.708382,3041.714072,2904.329894,2899.492732,2841.982023,2671.141857,2707.176758,2683.819833,2665.323955,2599.435777,2480.824982,
5,      Asia Oceania,total_fuel_combustion,MtCO2eq,916.3261381,961.384538,1081.605141,1085.359758,1055.01845,1085.977084,1125.538513,1114.870175,1141.759077,1103.83737,1080.244572,1061.911585,1056.075843,1123.665199,1115.739009,1116.275134,1133.16319,1209.47257,1251.235105,1345.593057,1359.242185,1374.931951,1371.718882,1430.409531,1451.5986,1476.737309,1477.014412,1459.490514,1501.577646,1525.71769,1522.74114,1569.320687,1579.10409,1587.775355,1595.31675,1577.51508,1623.575873,1562.609027,1511.696247,1561.101492,1615.16993,1656.467211,1657.935479,1602.898675,1572.34987,1567.804421,1561.042262,1519.040237,1485.017748,
6,   Annex I EIT   ,total_fuel_combustion,MtCO2eq,,,,,,,,,,,,,,,,,,,,3967.176597,3824.73249,3479.147407,3214.112711,2887.750186,2821.444222,2767.04445,2615.146582,2536.129584,2525.957866,2538.713879,2554.260193,2533.44676,2617.295306,2588.832401,2568.745912,2651.615007,2658.00429,2653.838738,2438.54947,2573.218916,2657.446184,2631.533506,2558.8255,2485.302356,2426.280702,2425.580239,2450.483303,2522.461558,2515.93076,
7,Non-Annex I Parties ,total_fuel_combustion,MtCO2eq,,,,,,,,,,,,,,,,,,,,6463.235535,6700.421719,6901.101616,7229.217546,7481.906759,7976.979377,8142.594443,8451.362593,8599.434593,8656.115906,9083.521944,9442.595049,9857.76271,10627.12931,11675.58081,12590.2811,13443.34647,14312.03428,14856.73594,15393.07907,16600.65626,17661.3508,18265.36833,18868.62121,19156.06996,19168.77531,19250.47217,19767.55969,20332.31517,20658.08167,
8,Annex B Kyoto Parties,total_fuel_combustion,MtCO2eq,,,,,,,,,,,,,,,,,,,,5448.059611,5396.147801,5178.934968,4990.492179,4852.71362,4858.26189,4919.119095,4792.585726,4789.851237,4715.995144,4716.458533,4798.756382,4797.27129,4945.221251,4951.898303,4933.757485,4975.073128,4949.752143,4906.320836,4554.146448,4697.004082,4580.033648,4544.268428,4461.386205,4173.642506,4156.311115,4177.764169,4174.243721,4115.185644,3945.638174,
9,OECD Total,total_fuel_combustion,MtCO2eq,9496.169048,9916.934157,10451.78666,10241.39844,9915.839081,10482.02995,10718.42651,10842.7646,11095.54657,10759.33059,10493.49543,10161.27615,10091.9978,10416.3981,10525.23913,10525.53686,10779.14445,11094.23422,11253.69366,11251.68366,11294.82977,11318.49134,11413.42542,11591.39889,11742.4832,12122.84501,12383.08424,12394.0414,12445.72567,12767.47006,12791.20269,12688.65172,12915.91855,13044.04656,13081.69976,13008.71385,13168.74206,12846.52336,12114.9181,12607.14111,12366.53894,12182.32795,12244.58026,11995.4963,11933.36232,11867.72711,11837.87782,11867.22599,11494.59869,10579.22284
